id,name,hasArtwork,city,distict,address1,address2,postalCode,latitude,longitude,closeTime,openTime
1531,无锡保利店,FALSE,无锡市,崇安区,保利广场1F,解放东路1000号,NA,31.580914,120.305266,NA,NA
1542,深圳华强北茂业店,FALSE,深圳市,深圳市福田区,茂业百货二层C01号铺,华强北路2005-2006号,518028,22.545186,114.086168,22:00:00,10:00:00
1544,昆山中央公园店,FALSE,苏州市,昆山,中央公园,黑龙江北路88号B1座,NA,31.38109,120.98201,22:00:00,07:00:00
1550,明天广场店,FALSE,上海市,黄浦区,明天广场,南京西路399号1楼,200001,31.230366,121.469734,20:00:00,07:00:00
1561,北京首都国际机场2店,FALSE,北京市,顺义区,NA,首都国际机场2号航站楼一层国际到港厅,100621,40.07909,116.594235,00:00:00,00:00:00
1566,大同店,FALSE,上海市,徐汇区,斜徐路,斜徐路593号,200001,31.206299,121.472641,22:00:00,07:00:00
1588,北京金融街金树街店,FALSE,北京市,西城区,NA,金融街街公寓F座9-11号,100032,39.917295,116.361523,22:00:00,07:30:00
1589,宁波天一药行街店,FALSE,宁波市,海曙区,酷购商城,药行街152号1楼,NA,29.868458,121.552359,22:30:00,08:00:00
1590,广州广百新一城店,FALSE,广州市,海珠区,新一城广场首层自编1-7号,宝岗大道498号,510240,23.093445,113.266702,23:00:00,07:30:00
1591,真光路店,FALSE,上海市,普陀区,百联购物广场,真光路1288号,200333,31.245817,121.383064,22:00:00,07:00:00
1592,重庆城市阳台店,FALSE,重庆市,渝中区 `,11层城市阳台,沧白路58号洪崖洞民俗风貌区,400010,29.561892,106.57824,23:00:00,07:30:00
1699,美臣店,FALSE,上海市,卢湾区,美臣大楼一楼,淮海中路937号,NA,31.216913,121.459732,23:00:00,07:00:00
1724,深圳中信城市广场店,FALSE,深圳市,福田区,中信广场1002号,深南中路1093号,NA,22.539576,114.098156,23:00:00,07:30:00
1734,丽园路店,FALSE,上海市,卢湾区,丽园路口,蒙自路169号,200023,31.206696,121.477998,22:30:00,07:00:00
1735,武汉新世界店,FALSE,武汉市,汉口解放大道634号,NA,新世界百货中心一楼,430000,30.578478,114.267031,NA,NA
1737,锦延路店,FALSE,上海市,浦东新区,近上海科技馆,锦延路219号,200127,31.21641,121.540436,22:00:00,07:00:00
1740,无锡欧陆店,FALSE,无锡市,新区,欧陆,行创六路7号-2一层商铺,214028,31.528426,120.384661,22:00:00,07:00:00
1743,永新店,FALSE,上海市,徐汇区,永新坊,辛耕路129号,200031,31.192474,121.442986,22:00:00,07:00:00
